Run, 44 File #, Date, Time, Raw REF, Raw C1, Raw C2, Raw C3, Corrected REF, Corrected C1, Corrected C2, Corrected C3, 44 Ref Sig (Coulombs), 45 Ref Sig (Coulombs), 44 C1 Sig (Coulombs), 45 C1 Sig (Coulombs), 44 C2 Sig (Coulombs), 45 C2 Sig (Coulombs), 44 C3 Sig (Coulombs), 45 C3 Sig (Coulombs), 44 REF Height (mV), 45 REF Height (mV), 44 C1 Height (mV), 45 C1 Height (mV), 44 C2 Height (mV), 45 C2 Height (mV), 44 C3 Height (mV), 45 C3 Height (mV), REF 44 Start Time (Min), REF 44 End Time (Min), REF 45 Start Time (Min), REF 45 End Time (Min), C1 44 Start Time (Min), C1 44 End Time (Min), C1 45 Start Time (Min), C1 45 End Time (Min), C2 44 Start Time (Min), C2 44 End Time (Min), C2 45 Start Time (Min), C2 45 End Time (Min), C3 44 Start Time (Min), C3 44 End Time (Min), C3 45 Start Time (Min), C3 45 End Time (Min), REF 44 Time STD (Sec), C1 44 Time STD (Sec), C2 44 Time STD (Sec), C3 44 Time STD (Sec),REF 44 Noise STD (mV), REF 45 Noise STD (mV), Baseline 44 Noise STD (mV), Baseline 45 Noise (mV), Temperature(mV)
44, 9536,  9-27-2015,  7:20:29, -39.32, -58.27, -43.86, -47.46, -39.88, -58.83, -44.43, -48.03, 2.16146e-08, 2.33338e-10, 1.72779e-08, 1.82842e-10, 1.81608e-08, 1.95125e-10, 2.38672e-08, 2.55471e-10, 118.684, 139.056, 85.7349, 92.7657, 115.503, 122.18, 174.323, 185.317, 0.067, 0.493, 0.067, 0.493, 0.933, 2.000, 0.927, 2.020, 3.333, 4.227, 3.333, 4.240, 5.767, 6.580, 5.760, 6.593, 7.27, 8.04, 6.27, 5.46, 0.003269, 0.107037, 0.004206, 0.028557, 0.0000 
45, 9537,  9-27-2015,  7:35:32, -39.30, -58.50, -43.96, -47.28, -39.88, -59.07, -44.54, -47.86, 2.14655e-08, 2.31732e-10, 1.72568e-08, 1.82575e-10, 1.82028e-08, 1.95557e-10, 2.37873e-08, 2.54664e-10, 119.054, 139.454, 85.3924, 92.4643, 115.204, 121.47, 175.364, 185.354, 0.073, 0.493, 0.073, 0.493, 0.913, 1.993, 0.907, 2.007, 3.340, 4.227, 3.333, 4.240, 5.760, 6.573, 5.760, 6.593, 7.19, 8.06, 6.30, 5.41, 0.006495, 0.035472, 0.007762, 0.033113, 0.0000 
46, 9538,  9-27-2015,  7:50:34, -39.12, -58.38, -43.96, -47.26, -39.88, -59.14, -44.73, -48.03, 2.14929e-08, 2.32073e-10, 1.72928e-08, 1.82978e-10, 1.81415e-08, 1.94897e-10, 2.38621e-08, 2.55471e-10, 119.25, 139.722, 85.9283, 93.0446, 114.734, 121.774, 178.141, 186.789, 0.067, 0.487, 0.067, 0.487, 0.940, 2.007, 0.927, 2.020, 3.340, 4.220, 3.333, 4.233, 5.767, 6.573, 5.760, 6.593, 7.19, 8.03, 6.31, 5.34, 0.003031, 0.012787, 0.007399, 0.051315, 0.0000 
47, 9539,  9-27-2015,  8: 5:37, -39.14, -57.28, -44.02, -47.63, -39.88, -58.02, -44.76, -48.37, 2.16559e-08, 2.33827e-10, 1.73303e-08, 1.8359e-10, 1.82065e-08, 1.95584e-10, 2.38658e-08, 2.55411e-10, 119.262, 139.802, 85.978, 93.174, 116.086, 121.746, 175.291, 184.754, 0.067, 0.487, 0.067, 0.487, 0.927, 2.000, 0.913, 2.020, 3.333, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.587, 7.24, 8.04, 6.26, 5.43, 0.003491, 0.070567, 0.006801, 0.030108, 0.0000 
48, 9540,  9-27-2015,  8:20:39, -39.37, -57.98, -43.62, -47.97, -39.88, -58.49, -44.13, -48.48, 2.16214e-08, 2.33399e-10, 1.73057e-08, 1.83192e-10, 1.8165e-08, 1.95221e-10, 2.38853e-08, 2.55528e-10, 119.258, 139.729, 85.906, 93.1785, 116.561, 123.067, 175.926, 185.955, 0.073, 0.493, 0.067, 0.493, 0.933, 2.007, 0.927, 2.027, 3.340, 4.227, 3.333, 4.240, 5.760, 6.580, 5.760, 6.587, 7.23, 8.04, 6.22, 5.42, 0.009097, 0.044198, 0.010709, 0.046763, 0.0000 
49, 9541,  9-27-2015,  8:35:42, -39.15, -57.94, -43.94, -47.24, -39.88, -58.67, -44.67, -47.97, 2.15175e-08, 2.32331e-10, 1.74014e-08, 1.84213e-10, 1.82345e-08, 1.95902e-10, 2.39071e-08, 2.55958e-10, 118.688, 139.045, 85.8845, 93.2114, 116.136, 121.956, 174.529, 184.877, 0.067, 0.493, 0.067, 0.493, 0.920, 2.000, 0.913, 2.020, 3.340, 4.227, 3.333, 4.240, 5.760, 6.573, 5.760, 6.593, 7.23, 8.08, 6.26, 5.46, 0.008860, 0.110603, 0.005788, 0.030582, 0.0000 
50, 9542,  9-27-2015,  8:50:45, -39.32, -58.10, -43.76, -47.08, -39.88, -58.66, -44.32, -47.63, 2.15416e-08, 2.32548e-10, 1.73658e-08, 1.83806e-10, 1.82159e-08, 1.95738e-10, 2.3875e-08, 2.55658e-10, 119.093, 139.494, 86.0513, 92.9122, 115.633, 122.122, 174.528, 185.782, 0.067, 0.493, 0.067, 0.493, 0.927, 2.007, 0.920, 2.020, 3.340, 4.227, 3.333, 4.240, 5.760, 6.573, 5.760, 6.593, 7.22, 8.05, 6.28, 5.46, 0.002681, 0.061792, 0.005788, 0.012500, 0.0000 
51, 9543,  9-27-2015,  9: 5:48, -39.18, -58.47, -43.93, -47.85, -39.88, -59.16, -44.63, -48.54, 2.17428e-08, 2.34755e-10, 1.73696e-08, 1.83774e-10, 1.82243e-08, 1.95794e-10, 2.38935e-08, 2.5565e-10, 119.55, 140.097, 86.0343, 93.422, 113.906, 121.445, 176.347, 184.732, 0.067, 0.487, 0.060, 0.487, 0.920, 1.993, 0.913, 2.013, 3.333, 4.220, 3.327, 4.233, 5.760, 6.573, 5.753, 6.587, 7.26, 8.05, 6.38, 5.41, 0.006796, 0.042776, 0.007949, 0.033819, 0.0000 
52, 9544,  9-27-2015,  9:20:50, -39.15, -58.67, -43.57, -47.47, -39.88, -59.40, -44.30, -48.20, 2.14817e-08, 2.31944e-10, 1.72949e-08, 1.82945e-10, 1.81774e-08, 1.95363e-10, 2.38997e-08, 2.55816e-10, 119.241, 139.648, 86.2594, 93.2911, 117.521, 122.755, 176.321, 186.407, 0.067, 0.487, 0.067, 0.487, 0.947, 2.013, 0.933, 2.027, 3.340, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.587, 7.19, 8.00, 6.17, 5.41, 0.005717, 0.212215, 0.004848, 0.042305, 0.0000 
53, 9545,  9-27-2015,  9:35:52, -39.26, -58.44, -43.82, -47.36, -39.88, -59.07, -44.44, -47.99, 2.16875e-08, 2.3414e-10, 1.73034e-08, 1.83079e-10, 1.81707e-08, 1.9524e-10, 2.38932e-08, 2.55776e-10, 119.489, 139.984, 86.7391, 93.683, 115.631, 122.632, 175.21, 186.451, 0.067, 0.493, 0.067, 0.493, 0.947, 2.013, 0.933, 2.027, 3.333, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.587, 7.24, 7.96, 6.27, 5.44, 0.005612, 0.022096, 0.007854, 0.043575, 0.0000 
54, 9546,  9-27-2015,  9:50:54, -39.38, -57.90, -44.25, -47.17, -39.88, -58.40, -44.75, -47.67, 2.16608e-08, 2.33822e-10, 1.7302e-08, 1.83169e-10, 1.819e-08, 1.9536e-10, 2.39372e-08, 2.56301e-10, 119.453, 139.955, 86.2916, 93.4872, 117.327, 123.056, 176.474, 186.784, 0.067, 0.487, 0.067, 0.487, 0.940, 2.007, 0.933, 2.027, 3.340, 4.227, 3.333, 4.233, 5.760, 6.573, 5.760, 6.593, 7.23, 8.00, 6.19, 5.41, 0.007293, 0.068584, 0.008105, 0.026613, 0.0000 
55, 9547,  9-27-2015, 10: 5:56, -39.29, -58.55, -44.13, -47.22, -39.88, -59.14, -44.71, -47.81, 2.16241e-08, 2.33447e-10, 1.73444e-08, 1.83491e-10, 1.81873e-08, 1.95357e-10, 2.38731e-08, 2.55599e-10, 119.229, 139.673, 86.1348, 93.4199, 115.317, 121.809, 176.801, 186.922, 0.067, 0.493, 0.067, 0.493, 0.933, 2.007, 0.927, 2.020, 3.333, 4.227, 3.333, 4.240, 5.767, 6.573, 5.760, 6.593, 7.24, 8.03, 6.29, 5.39, 0.008602, 0.035128, 0.004085, 0.029466, 0.0000 
56, 9548,  9-27-2015, 10:20:59, -39.34, -58.72, -43.84, -47.67, -39.88, -59.26, -44.37, -48.20, 2.16047e-08, 2.33225e-10, 1.74102e-08, 1.84153e-10, 1.82106e-08, 1.95665e-10, 2.39108e-08, 2.55883e-10, 118.848, 139.173, 85.7127, 92.962, 116.546, 120.923, 175.507, 186.339, 0.067, 0.487, 0.067, 0.487, 0.907, 1.993, 0.900, 2.007, 3.333, 4.227, 3.327, 4.240, 5.760, 6.573, 5.760, 6.587, 7.25, 8.10, 6.23, 5.44, 0.006139, 0.211131, 0.005629, 0.029351, 0.0000 
57, 9549,  9-27-2015, 10:36: 2, -39.15, -58.67, -43.47, -47.19, -39.88, -59.40, -44.21, -47.92, 2.16754e-08, 2.34036e-10, 1.74173e-08, 1.84239e-10, 1.81921e-08, 1.95541e-10, 2.38923e-08, 2.55814e-10, 119.536, 140.05, 85.9515, 93.3261, 115.29, 121.825, 178.758, 186.168, 0.067, 0.493, 0.067, 0.493, 0.913, 1.993, 0.907, 2.007, 3.340, 4.227, 3.333, 4.240, 5.767, 6.573, 5.760, 6.593, 7.23, 8.08, 6.30, 5.33, 0.004123, 0.114684, 0.006016, 0.015516, 0.0000 
58, 9550,  9-27-2015, 10:51: 4, -39.26, -57.81, -43.63, -47.20, -39.88, -58.43, -44.25, -47.82, 2.16438e-08, 2.33667e-10, 1.73693e-08, 1.839e-10, 1.81663e-08, 1.95231e-10, 2.38768e-08, 2.55643e-10, 119.469, 139.934, 86.6922, 93.9272, 115.922, 122.104, 179.872, 186.593, 0.067, 0.493, 0.067, 0.493, 0.933, 2.000, 0.920, 2.020, 3.340, 4.227, 3.333, 4.240, 5.767, 6.580, 5.767, 6.593, 7.23, 7.99, 6.25, 5.30, 0.006819, 0.021243, 0.008602, 0.034238, 0.0000 
59, 9551,  9-27-2015, 11: 6: 6, -39.16, -57.86, -43.74, -47.23, -39.88, -58.59, -44.46, -47.96, 2.14851e-08, 2.31979e-10, 1.73451e-08, 1.83633e-10, 1.81271e-08, 1.94788e-10, 2.39207e-08, 2.56105e-10, 119.082, 139.599, 87.0157, 94.0876, 116.336, 121.715, 175.688, 185.977, 0.073, 0.493, 0.073, 0.493, 0.947, 2.013, 0.940, 2.033, 3.340, 4.227, 3.340, 4.240, 5.767, 6.580, 5.767, 6.593, 7.20, 7.95, 6.22, 5.43, 0.006978, 0.024515, 0.007500, 0.022198, 0.0000 
60, 9552,  9-27-2015, 11:21: 8, -39.13, -58.52, -43.31, -47.35, -39.88, -59.27, -44.06, -48.11, 2.15882e-08, 2.331e-10, 1.74526e-08, 1.84642e-10, 1.81503e-08, 1.95125e-10, 2.38984e-08, 2.55835e-10, 119.469, 140.013, 86.9315, 94.1426, 116.403, 123.087, 177.38, 186.06, 0.067, 0.487, 0.067, 0.487, 0.920, 2.000, 0.913, 2.013, 3.340, 4.220, 3.340, 4.240, 5.767, 6.580, 5.767, 6.593, 7.21, 8.01, 6.22, 5.37, 0.003269, 0.018426, 0.008078, 0.081208, 0.0000 
61, 9553,  9-27-2015, 11:36:10, -39.25, -58.73, -43.67, -47.38, -39.88, -59.36, -44.30, -48.01, 2.16283e-08, 2.33502e-10, 1.73851e-08, 1.83887e-10, 1.81384e-08, 1.94924e-10, 2.38351e-08, 2.55149e-10, 119.098, 139.542, 86.6504, 93.6728, 114.374, 121.215, 175.848, 185.881, 0.067, 0.493, 0.067, 0.493, 0.940, 2.013, 0.927, 2.020, 3.340, 4.227, 3.333, 4.240, 5.773, 6.580, 5.767, 6.593, 7.24, 8.00, 6.33, 5.41, 0.010183, 0.094259, 0.007382, 0.038298, 0.0000 
62, 9554,  9-27-2015, 11:51:13, -39.05, -58.34, -43.90, -47.42, -39.88, -59.17, -44.73, -48.26, 2.16171e-08, 2.3343e-10, 1.74294e-08, 1.84431e-10, 1.81721e-08, 1.9524e-10, 2.38444e-08, 2.55238e-10, 119.167, 139.657, 85.4918, 92.9609, 115.448, 122.728, 177.575, 186.56, 0.067, 0.493, 0.067, 0.493, 0.913, 1.993, 0.900, 2.007, 3.340, 4.227, 3.340, 4.233, 5.767, 6.573, 5.767, 6.587, 7.24, 8.13, 6.28, 5.36, 0.010259, 0.069982, 0.004763, 0.042229, 0.0000 
63, 9555,  9-27-2015, 12: 6:16, -39.15, -58.87, -43.76, -46.48, -39.88, -59.60, -44.49, -47.21, 2.17179e-08, 2.34494e-10, 1.74947e-08, 1.85017e-10, 1.81622e-08, 1.9516e-10, 2.38365e-08, 2.55406e-10, 119.767, 140.348, 86.3114, 93.4666, 115.096, 122.619, 179.37, 186.93, 0.067, 0.493, 0.067, 0.493, 0.907, 1.987, 0.900, 1.993, 3.340, 4.227, 3.333, 4.240, 5.773, 6.573, 5.767, 6.600, 7.23, 8.09, 6.30, 5.30, 0.009364, 0.016378, 0.006403, 0.029449, 0.0000 
64, 9556,  9-27-2015, 12:21:18, -39.17, -58.87, -43.71, -46.92, -39.88, -59.58, -44.43, -47.63, 2.16971e-08, 2.34265e-10, 1.74944e-08, 1.85015e-10, 1.80799e-08, 1.94287e-10, 2.38422e-08, 2.5535e-10, 119.522, 140.014, 86.4998, 93.9569, 115.724, 122.002, 176.929, 185.941, 0.067, 0.493, 0.067, 0.493, 0.920, 2.000, 0.913, 2.013, 3.340, 4.227, 3.340, 4.240, 5.767, 6.573, 5.767, 6.593, 7.24, 8.07, 6.23, 5.38, 0.002385, 0.138317, 0.006379, 0.020476, 0.0000 
65, 9557,  9-27-2015, 12:36:20, -39.32, -58.31, -43.75, -46.83, -39.88, -58.88, -44.31, -47.39, 2.17642e-08, 2.34952e-10, 1.75135e-08, 1.85327e-10, 1.81109e-08, 1.94612e-10, 2.37119e-08, 2.53977e-10, 119.888, 140.416, 86.5702, 94.0594, 116.176, 122.416, 176.937, 185.069, 0.067, 0.493, 0.067, 0.493, 0.907, 1.987, 0.900, 2.000, 3.340, 4.227, 3.340, 4.240, 5.767, 6.573, 5.767, 6.593, 7.24, 8.07, 6.22, 5.35, 0.004763, 0.086283, 0.000433, 0.041851, 0.0000 
66, 9558,  9-27-2015, 12:51:22, -39.12, -57.98, -43.32, -47.39, -39.88, -58.73, -44.08, -48.15, 2.1758e-08, 2.34934e-10, 1.75343e-08, 1.85613e-10, 1.80876e-08, 1.94449e-10, 2.37973e-08, 2.54742e-10, 119.862, 140.511, 86.7546, 94.1703, 115.674, 121.838, 176.568, 186.617, 0.067, 0.493, 0.067, 0.493, 0.913, 1.993, 0.907, 2.007, 3.340, 4.220, 3.340, 4.240, 5.773, 6.580, 5.773, 6.593, 7.24, 8.06, 6.24, 5.38, 0.006379, 0.021360, 0.005523, 0.018828, 0.0000 
67, 9559,  9-27-2015, 13: 6:24, -39.22, -57.97, -43.64, -46.84, -39.88, -58.63, -44.30, -47.50, 2.17927e-08, 2.35283e-10, 1.75107e-08, 1.85365e-10, 1.80465e-08, 1.93942e-10, 2.37341e-08, 2.54211e-10, 119.686, 140.251, 86.7283, 94.1586, 115.313, 121.89, 173.689, 185.101, 0.060, 0.487, 0.060, 0.487, 0.900, 1.980, 0.893, 2.000, 3.340, 4.227, 3.333, 4.240, 5.773, 6.573, 5.767, 6.593, 7.26, 8.05, 6.24, 5.45, 0.009756, 0.158930, 0.004969, 0.067630, 0.0000 
68, 9560,  9-27-2015, 13:21:26, -39.14, -57.75, -43.65, -46.93, -39.88, -58.49, -44.38, -47.66, 2.16931e-08, 2.34228e-10, 1.75275e-08, 1.85586e-10, 1.80493e-08, 1.93971e-10, 2.37415e-08, 2.54269e-10, 119.483, 139.989, 86.7804, 94.2271, 116.07, 122.294, 179.685, 185.841, 0.067, 0.493, 0.067, 0.487, 0.900, 1.987, 0.893, 2.007, 3.340, 4.227, 3.340, 4.240, 5.767, 6.573, 5.767, 6.593, 7.24, 8.06, 6.20, 5.27, 0.001871, 0.094934, 0.002773, 0.098189, 0.0000 
69, 9561,  9-27-2015, 13:36:28, -39.10, -57.96, -43.51, -46.69, -39.88, -58.74, -44.29, -47.47, 2.17932e-08, 2.3532e-10, 1.75513e-08, 1.85796e-10, 1.80402e-08, 1.93901e-10, 2.36185e-08, 2.53014e-10, 119.873, 140.477, 87.5086, 94.8016, 114.882, 121.748, 176.763, 185.927, 0.067, 0.493, 0.067, 0.493, 0.927, 2.000, 0.920, 2.013, 3.340, 4.227, 3.340, 4.240, 5.773, 6.573, 5.773, 6.593, 7.25, 8.00, 6.26, 5.33, 0.006495, 0.044769, 0.007697, 0.052545, 0.0000 
70, 9562,  9-27-2015, 13:51:30, -39.01, -58.63, -43.62, -47.03, -39.88, -59.50, -44.49, -47.89, 2.15665e-08, 2.32892e-10, 1.74965e-08, 1.85085e-10, 1.80022e-08, 1.9347e-10, 2.37126e-08, 2.53933e-10, 119.262, 139.795, 86.2611, 93.7143, 113.702, 121.654, 181.134, 186.701, 0.067, 0.487, 0.067, 0.487, 0.907, 1.987, 0.900, 2.000, 3.340, 4.220, 3.340, 4.233, 5.773, 6.573, 5.773, 6.587, 7.21, 8.09, 6.32, 5.22, 0.003082, 0.038736, 0.008573, 0.083033, 0.0000 
71, 9563,  9-27-2015, 14: 6:32, -38.94, -58.67, -43.49, -47.46, -39.88, -59.61, -44.43, -48.40, 2.16267e-08, 2.33559e-10, 1.74733e-08, 1.8483e-10, 1.80213e-08, 1.93701e-10, 2.36994e-08, 2.53675e-10, 119.326, 139.817, 86.5994, 94.078, 115.342, 122.356, 172.111, 183.069, 0.067, 0.493, 0.067, 0.493, 0.920, 1.993, 0.913, 2.007, 3.340, 4.227, 3.340, 4.240, 5.767, 6.573, 5.767, 6.587, 7.23, 8.05, 6.23, 5.49, 0.004610, 0.027848, 0.002586, 0.045092, 0.0000 
72, 9564,  9-27-2015, 14:21:34, -39.00, -58.49, -43.90, -46.97, -39.88, -59.38, -44.79, -47.85, 2.15223e-08, 2.32419e-10, 1.75646e-08, 1.85832e-10, 1.80232e-08, 1.93639e-10, 2.36937e-08, 2.53746e-10, 119.436, 139.906, 87.4278, 94.7442, 114.899, 122.297, 180.408, 186.318, 0.067, 0.487, 0.067, 0.487, 0.913, 1.993, 0.900, 2.007, 3.340, 4.220, 3.340, 4.233, 5.773, 6.573, 5.773, 6.593, 7.19, 8.01, 6.26, 5.24, 0.003775, 0.377032, 0.008105, 0.244552, 0.0000 


Average:,,,, -39.40, -58.53, -43.96, -47.56, -39.88, -59.01, -44.44, -48.04, 2.16045e-08, 2.33209e-10, 1.74033e-08, 1.84118e-10, 1.81263e-08, 1.94734e-10, 2.38095e-08, 2.54827e-10, 119.149, 139.582, 86.2169, 93.4903, 115.461, 121.878, 176.079, 185.595, 0.068, 0.492, 0.067, 0.491, 0.922, 1.998, 0.913, 2.014, 3.338, 4.224, 3.334, 4.238, 5.765, 6.574, 5.763, 6.590,,,,, 0.005757, 0.081470, 0.006190, 0.059882, 0.0000

STD:,,,, 0.2343, 0.4467, 0.3781, 0.4001, 0.0000, 0.4074, 0.2923, 0.2843, 8.18466e-11, 8.96681e-13, 9.64115e-11, 1.00932e-12, 5.96435e-11, 6.60877e-13, 6.98726e-11, 7.59781e-13, 0.316754, 0.382453, 0.588196, 0.580604, 1.01992, 0.687082, 2.04521, 0.999433, 0.0026, 0.0031, 0.0026, 0.0032, 0.0116, 0.0080, 0.0117, 0.0081, 0.0030, 0.0033, 0.0031, 0.0034, 0.0043, 0.0029, 0.0044, 0.0038

Range:,,,, 0.96, 2.26, 1.48, 1.91, 0.00, 1.78, 1.51, 1.41, 3.53532e-10, 3.95841e-12, 3.55083e-10, 3.64314e-12, 2.32269e-10, 2.63311e-12, 3.61167e-10, 4.0762e-12, 1.49986, 1.84133, 2.90011, 2.74246, 4.58487, 3.19331, 9.3133, 4.74752, 0.013, 0.013, 0.013, 0.013, 0.047, 0.033, 0.053, 0.040, 0.007, 0.007, 0.013, 0.013, 0.013, 0.013, 0.020, 0.013,,,,, 0.015304, 0.366615, 0.014338, 0.239237, 0.0000
