Run, 44 File #, Date, Time, Raw REF, Raw C1, Raw C2, Raw C3, Corrected REF, Corrected C1, Corrected C2, Corrected C3, 44 Ref Sig (Coulombs), 45 Ref Sig (Coulombs), 44 C1 Sig (Coulombs), 45 C1 Sig (Coulombs), 44 C2 Sig (Coulombs), 45 C2 Sig (Coulombs), 44 C3 Sig (Coulombs), 45 C3 Sig (Coulombs), 44 REF Height (mV), 45 REF Height (mV), 44 C1 Height (mV), 45 C1 Height (mV), 44 C2 Height (mV), 45 C2 Height (mV), 44 C3 Height (mV), 45 C3 Height (mV), REF 44 Start Time (Min), REF 44 End Time (Min), REF 45 Start Time (Min), REF 45 End Time (Min), C1 44 Start Time (Min), C1 44 End Time (Min), C1 45 Start Time (Min), C1 45 End Time (Min), C2 44 Start Time (Min), C2 44 End Time (Min), C2 45 Start Time (Min), C2 45 End Time (Min), C3 44 Start Time (Min), C3 44 End Time (Min), C3 45 Start Time (Min), C3 45 End Time (Min), REF 44 Time STD (Sec), C1 44 Time STD (Sec), C2 44 Time STD (Sec), C3 44 Time STD (Sec),REF 44 Noise STD (mV), REF 45 Noise STD (mV), Baseline 44 Noise STD (mV), Baseline 45 Noise (mV), Temperature(mV)
20, 9512,  9-27-2015,  1:19:29, -39.61, -58.53, -43.98, -48.09, -39.88, -58.81, -44.26, -48.37, 2.16352e-08, 2.3349e-10, 1.73705e-08, 1.8377e-10, 1.81575e-08, 1.95065e-10, 2.38215e-08, 2.54813e-10, 119.14, 139.537, 85.6514, 93.0346, 115.088, 121.539, 174.092, 184.701, 0.067, 0.487, 0.067, 0.487, 0.907, 1.987, 0.893, 2.000, 3.340, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.587, 7.24, 8.09, 6.29, 5.46, 0.006978, 0.019487, 0.007013, 0.040896, 0.0000 
21, 9513,  9-27-2015,  1:34:31, -39.46, -58.83, -44.24, -47.54, -39.88, -59.24, -44.66, -47.96, 2.16664e-08, 2.33862e-10, 1.73472e-08, 1.83467e-10, 1.80858e-08, 1.94242e-10, 2.37935e-08, 2.5466e-10, 119.42, 139.853, 86.6457, 93.801, 114.025, 121.151, 174.268, 185.238, 0.067, 0.493, 0.067, 0.493, 0.927, 2.000, 0.920, 2.013, 3.340, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.593, 7.24, 7.99, 6.33, 5.45, 0.005874, 0.194545, 0.004265, 0.129215, 0.0000 
22, 9514,  9-27-2015,  1:49:33, -39.50, -59.09, -43.82, -47.77, -39.88, -59.46, -44.20, -48.15, 2.15773e-08, 2.3289e-10, 1.7439e-08, 1.84387e-10, 1.80727e-08, 1.94187e-10, 2.38365e-08, 2.5506e-10, 118.848, 139.193, 86.8612, 94.1259, 116.314, 121.912, 177.277, 186.339, 0.067, 0.493, 0.067, 0.493, 0.927, 2.007, 0.920, 2.020, 3.340, 4.220, 3.333, 4.240, 5.767, 6.573, 5.760, 6.587, 7.24, 8.01, 6.20, 5.36, 0.003345, 0.159888, 0.004918, 0.026561, 0.0000 
23, 9515,  9-27-2015,  2: 4:35, -39.49, -58.85, -44.02, -47.69, -39.88, -59.24, -44.41, -48.08, 2.16192e-08, 2.33345e-10, 1.73914e-08, 1.83929e-10, 1.80975e-08, 1.94413e-10, 2.37976e-08, 2.54665e-10, 119.074, 139.508, 86.5577, 93.7777, 112.944, 120.949, 175.802, 185.641, 0.067, 0.493, 0.067, 0.493, 0.933, 2.007, 0.927, 2.020, 3.340, 4.227, 3.333, 4.240, 5.760, 6.573, 5.760, 6.587, 7.24, 8.02, 6.39, 5.40, 0.003202, 0.057319, 0.002165, 0.035588, 0.0000 
24, 9516,  9-27-2015,  2:19:38, -39.49, -58.24, -44.39, -47.68, -39.88, -58.64, -44.78, -48.08, 2.15134e-08, 2.32205e-10, 1.74074e-08, 1.84218e-10, 1.81415e-08, 1.9481e-10, 2.38314e-08, 2.55028e-10, 118.875, 139.213, 85.6086, 92.8862, 114.936, 120.887, 174.73, 183.43, 0.073, 0.493, 0.073, 0.493, 0.913, 2.000, 0.907, 2.013, 3.340, 4.227, 3.333, 4.240, 5.767, 6.573, 5.760, 6.593, 7.22, 8.11, 6.30, 5.44, 0.016394, 0.069961, 0.014307, 0.185983, 0.0000 
25, 9517,  9-27-2015,  2:34:41, -39.50, -58.52, -43.90, -47.83, -39.88, -58.91, -44.28, -48.22, 2.15277e-08, 2.32357e-10, 1.73565e-08, 1.83624e-10, 1.81598e-08, 1.95107e-10, 2.38217e-08, 2.54885e-10, 119.134, 139.557, 85.503, 92.9386, 114.953, 121.972, 174.257, 184.729, 0.067, 0.487, 0.067, 0.487, 0.920, 2.000, 0.907, 2.013, 3.340, 4.227, 3.333, 4.240, 5.767, 6.573, 5.760, 6.587, 7.21, 8.10, 6.30, 5.45, 0.007790, 0.015700, 0.008197, 0.080253, 0.0000 
26, 9518,  9-27-2015,  2:49:44, -39.50, -59.13, -43.35, -47.86, -39.88, -59.50, -43.73, -48.23, 2.15899e-08, 2.33026e-10, 1.74057e-08, 1.84027e-10, 1.8166e-08, 1.95285e-10, 2.38242e-08, 2.54905e-10, 118.924, 139.334, 85.7546, 93.3424, 114.298, 121.384, 176.361, 185.226, 0.067, 0.493, 0.067, 0.493, 0.913, 1.993, 0.900, 2.007, 3.333, 4.220, 3.333, 4.240, 5.760, 6.573, 5.760, 6.587, 7.24, 8.10, 6.34, 5.39, 0.005214, 0.204945, 0.003269, 0.146421, 0.0000 
27, 9519,  9-27-2015,  3: 4:47, -39.42, -58.15, -43.31, -47.83, -39.88, -58.61, -43.76, -48.29, 2.16047e-08, 2.33206e-10, 1.73027e-08, 1.83128e-10, 1.81655e-08, 1.9529e-10, 2.38161e-08, 2.54824e-10, 119.105, 139.503, 85.4313, 92.667, 115.845, 121.836, 176.853, 185.978, 0.067, 0.493, 0.067, 0.493, 0.913, 1.987, 0.900, 2.007, 3.340, 4.220, 3.333, 4.240, 5.767, 6.580, 5.767, 6.593, 7.24, 8.08, 6.26, 5.37, 0.002179, 0.036749, 0.006745, 0.036225, 0.0000 
28, 9520,  9-27-2015,  3:19:49, -39.42, -59.05, -43.93, -48.15, -39.88, -59.51, -44.39, -48.61, 2.15993e-08, 2.33149e-10, 1.74071e-08, 1.84057e-10, 1.8106e-08, 1.94523e-10, 2.38021e-08, 2.54591e-10, 119.1, 139.516, 86.6195, 93.7475, 115.252, 122.478, 175.094, 185.492, 0.067, 0.493, 0.067, 0.493, 0.927, 2.000, 0.920, 2.013, 3.340, 4.227, 3.333, 4.240, 5.767, 6.573, 5.760, 6.587, 7.23, 8.02, 6.27, 5.42, 0.002739, 0.016155, 0.005449, 0.016500, 0.0000 
29, 9521,  9-27-2015,  3:34:51, -39.30, -58.33, -44.03, -47.29, -39.88, -58.92, -44.61, -47.88, 2.16009e-08, 2.33195e-10, 1.72617e-08, 1.82658e-10, 1.8112e-08, 1.94567e-10, 2.3687e-08, 2.53587e-10, 119.057, 139.509, 86.1971, 93.4385, 116.924, 122.941, 171.821, 183.951, 0.067, 0.493, 0.067, 0.493, 0.933, 2.000, 0.927, 2.020, 3.340, 4.227, 3.333, 4.240, 5.760, 6.567, 5.760, 6.587, 7.24, 7.99, 6.18, 5.50, 0.005717, 0.098116, 0.005494, 0.059791, 0.0000 
